arm,kept_docs,loss_code,loss_forum_qa,loss_news,loss_recipes,removed_docs,seed,train_tokens,unique_content_tokens,validation_loss
threshold_0.40,185,2.909401,2.636742,2.460328,2.976482,55,11,20000,20000,2.733913
threshold_0.50,214,3.043426,2.578832,2.466722,2.964092,26,11,20000,20000,2.765807
threshold_0.60,219,3.154385,2.548711,2.473396,2.960017,21,11,20000,20000,2.798816
threshold_0.40,177,2.789463,2.846574,2.457899,2.758626,63,23,20000,20000,2.678435
threshold_0.50,208,2.927551,2.553804,2.551126,2.85231,32,23,20000,20000,2.631058
threshold_0.60,217,2.927551,2.553804,2.551126,2.85231,23,23,20000,20000,2.631058
threshold_0.40,173,2.701861,2.755446,2.518186,2.857035,67,37,20000,20000,2.657586
threshold_0.50,199,2.700486,2.661277,2.559622,2.926997,41,37,20000,20000,2.661204
threshold_0.60,215,2.700486,2.661277,2.559622,2.926997,25,37,20000,20000,2.661204
