arm,kept_docs,loss_code,loss_forum_qa,loss_news,loss_recipes,removed_docs,seed,train_tokens,unique_content_tokens,validation_loss
threshold_0.40,163,3.012222,2.578404,2.471357,2.967444,32,11,20000,20000,2.75501
threshold_0.50,175,3.043426,2.578832,2.466722,2.964092,20,11,20000,20000,2.765807
threshold_0.60,179,3.154385,2.548711,2.473396,2.960017,16,11,20000,20000,2.798816
threshold_0.40,153,2.791964,2.733791,2.50955,2.748162,42,23,20000,20000,2.65526
threshold_0.50,175,2.927551,2.553804,2.551126,2.85231,20,23,20000,20000,2.631058
threshold_0.60,178,2.927551,2.553804,2.551126,2.85231,17,23,20000,20000,2.631058
threshold_0.40,146,2.700353,2.721016,2.539728,2.855377,49,37,20000,20000,2.658013
threshold_0.50,163,2.700486,2.661277,2.559622,2.926997,32,37,20000,20000,2.661204
threshold_0.60,174,2.700486,2.661277,2.559622,2.926997,21,37,20000,20000,2.661204
